A Republican strategy to counter the re-election of Obama 	Una estrategia republicana para obstaculizar la reelección de Obama
Republican leaders justified their policy by the need to combat electoral fraud.	Los dirigentes republicanos justificaron su política por la necesidad de luchar contra el fraude electoral.
However, the Brennan Centre considers this a myth, stating that electoral fraud is rarer in the United States than the number of people killed by lightning.	Ahora bien, el Centro Brennan considera esto último un mito y afirma que el fraude electoral es menos frecuente en los Estados Unidos que el número de personas que mueren a causa de la caída de un rayo.
Indeed, Republican lawyers identified only 300 cases of electoral fraud in the United States in a decade.	De hecho, los abogados republicanos no han encontrado más que 300 casos de fraude electoral en los Estados Unidos en diez años.
One thing is certain: these new provisions will have a negative impact on voter turn-out.	Una cosa es cierta: esas nuevas disposiciones afectarán negativamente a la tasa de participación.
In this sense, the measures will partially undermine the American democratic system.	En ese sentido, estas medidas minarán en parte el sistema democrático americano.
Unlike in Canada, the American States are responsible for the organisation of federal elections in the United States.	Al contrario de lo que ocurre en Canadá, los estados americanos son responsables de la organización de las elecciones federales en los Estados Unidos.
It is in this spirit that a majority of American governments have passed new laws since 2009 making the registration or voting process more difficult.	Y en esa misma línea una mayoría de los gobiernos americanos promulgaron, a partir de 2009, nuevas leyes que dificultaban el proceso de inscripción o de votación.
This phenomenon gained momentum following the November 2010 elections, which saw 675 new Republican representatives added in 26 States.	Este fenómeno se ha extendido tras las elecciones de noviembre de 2010, que vieron el aumento de 675 nuevos representantes republicanos en 26 estados.
As a result, 180 bills restricting the exercise of the right to vote in 41 States were introduced in 2011 alone.	En consecuencia, durante el año 2011 se introdujeron 180 proyectos de ley que restringían el ejercicio del derecho de voto en 41 estados.
The new election laws require voters to show a photo ID card and proof of US citizenship.	Las nuevas leyes electorales exigen que los electores presenten un documento de identidad con una fotografía, además de una prueba de ciudadanía americana.
Furthermore, these laws also reduce early voting periods, invalidate the right to register as a voter on election day and withdraw the right to vote of citizens with a criminal record.	Por otra parte, esas leyes reducen los períodos de voto anticipado, invalidan el derecho a inscribirse como elector en el día del escrutinio y retiran su derecho al voto a los ciudadanos con antecedentes penales.
Before the 2006 elections, no US State required voters to show a photo ID card.	Antes de las elecciones de 2006, ningún estado americano exigía que los electores presentaran un documento de identidad con fotografía.
Indiana was the first State to impose such a requirement.	El Estado de Indiana fue el primero en exigirlo.
In 2008, the Supreme Court of the United States upheld the constitutionality of the Indiana law.	El Tribunal Supremo de los Estados Unidos confirmó en 2008 la constitucionalidad de la ley de Indiana.
The Republican authorities were quick to extend this practice to other States.	Por ello, las autoridades republicanas se apresuraron a extender esa práctica a otros estados.
