28-Year-Old Chef Found Dead at San Francisco Mall	28 Yaşındaki Aşçı San Francisco Alışveriş Merkezinde Ölü Bulundu
A 28-year-old chef who had recently moved to San Francisco was found dead in the stairwell of a local mall this week.	Kısa süre önce San Francisco'ya taşınmış olan 28 yaşındaki aşçı, bu hafta içinde yerel bir alışveriş merkezinin merdiven boşluğunda ölü bulundu.
But the victim's brother says he can't think of anyone who would want to hurt him, saying, "Things were finally going well for him."	Ancak kurbanın erkek kardeşi, ona zarar vermek isteyebilecek biri olabileceğini düşünmediğini belirterek şöyle dedi: "Sonunda onun için işler iyi gidiyordu."
The body found at the Westfield Mall Wednesday morning was identified as 28-year-old San Francisco resident Frank Galicia, the San Francisco Medical Examiner's Office said.	San Francisco Adli Tıp Kurumu, Çarşamba sabahı Westfield Alışveriş Merkezinde bulunan cesedin 28 yaşındaki San Francisco sakini Frank Galicia'ya ait olduğunun belirlendiğini açıkladı.
The San Francisco Police Department said the death was ruled a homicide and an investigation is ongoing.	San Francisco Emniyet Müdürlüğü, ölüm nedeninin cinayet olduğunun belirlendiğini ve araştırmaların devam ettiğini bildirdi.
The victim's brother, Louis Galicia, told ABC station KGO in San Francisco that Frank, previously a line cook in Boston, had landed his dream job as line chef at San Francisco's Sons & Daughters restaurant six months ago.	Kurbanın erkek kardeşi Louis Galicia, San Francisco'daki ABC istasyonu KGO'ya, daha önce Boston'da mutfak bölüm şefi olarak çalışmakta olan Frank'in, altı ay önce hayallerindeki işe kavuşarak San Francisco Sons & Daughters mutfak bölüm şefi olarak çalışmaya başladığını belirtti.
A spokesperson for Sons & Daughters said they were "shocked and devastated" by his death.	Sons & Daughters yetkilisi, bu ölümün kendilerini "şaşkına çevirdiğini ve son derece üzgün olduklarını" belirtti.
"We are a small team that operates like a close knit family and he will be dearly missed," the spokesperson said.	Sözcü, "Burada sıkı bir aile gibi çalışan küçük bir ekibiz ve kendisi çok özlenecek" açıklamasında bulundu.
Our thoughts and condolences are with Frank's family and friends at this difficult time.	Bu zorlu zamanda Frank'in ailesine yalnız olmadıklarını ve dualarımızın onlarla olduğunu belirtmek isteriz.
Louis Galicia said Frank initially stayed in hostels, but recently, "Things were finally going well for him."	Louis Galicia, Frank'in başlangıçta hostellerde kaldığını belirtti ve "Sonunda onun için işler iyi gidiyordu" dedi.
"He found an apartment, he was dating a girl," Louis Galicia told KGO.	Louis Galicia, KGO'ya "Bir daire tutmuştu ve bir kızla çıkıyordu" dedi.
Louis Galicia said he could not think of anyone who would want to hurt his younger brother.	Louis Galicia, küçük erkek kardeşine zarar vermek isteyebilecek biri olabileceğini düşünmediğini söyledi.
He was a kind spirit with a big heart.	O kocaman bir kalbi olan, nazik bir kişiydi.
His way of connecting with the family was always making us a dish, making us dinner," Louis Galicia said.	Aileyle bağ kurma yolu her zaman için bize bir tabak hazırlamak, bize yemek yapmaktı" dedi Louis Galicia.
He never wanted to be in any kind of altercation.	Münakaşaya girmekten hiç hoşlanmazdı.
He was the brother that went with the flow.	Erkek kardeşim, her duruma uyum sağlardı.
"With everything else that's going wrong with the world, he was that diamond in the rough that was shining bright every day," he said.	O, "Dünyada diğer her şey yalnış giderken, o her gün pırıl pırıl ışıldayan şu işlenmemiş elmastı" diye konuştu.
Anyone with information is asked to call the SFPD Tip Line at 415-575-4444.	Bilgi sahibi olan kişilerin 415-575-4444 numaralı telefondan SFPD İhbar Hattını araması istendi.
