28-Year-Old Chef Found Dead at San Francisco Mall	28 gadus vecs pavārs atrasts miris Sanfrancisko lielveikalā
A 28-year-old chef who had recently moved to San Francisco was found dead in the stairwell of a local mall this week.	Šonedēļ kāda lielveikala kāpņutelpā atrasts miris 28 gadus vecs pavārs, kurš nesen pārcēlies uz Sanfrancisko .
But the victim's brother says he can't think of anyone who would want to hurt him, saying, "Things were finally going well for him."	Bet upura brālis saka, ka viņš nevar iedomāties nevienu, kurš gribētu nodarīt pāri viņa brālim, norādot, ka: "Viņa dzīve beidzot sāka uzlaboties."
The body found at the Westfield Mall Wednesday morning was identified as 28-year-old San Francisco resident Frank Galicia, the San Francisco Medical Examiner's Office said.	Līķis, kas trešdien atrasts pie Vestfīldas lielveikala, ticis identificēts kā 28 gadus vecais Sanfrancisko iedzīvotājs Frenks Galicia, teica Sanfrancisko tiesu medicīnas ekspertīzes biroja pārstāvis.
The San Francisco Police Department said the death was ruled a homicide and an investigation is ongoing.	Sanfrancisko policija paziņoja, ka viņa nāve atzīta par slepkavību un šobrīd notiek izmeklēšana.
The victim's brother, Louis Galicia, told ABC station KGO in San Francisco that Frank, previously a line cook in Boston, had landed his dream job as line chef at San Francisco's Sons & Daughters restaurant six months ago.	Upura brālis Luiss Galicia stāsta Sanfrancisko raidstacijai ABC KGO, ka Frenks iepriekš strādājis par pavāru Bostonā, bet pirms sešiem mēnešiem viņš ticis pie sava sapņu darba restorānā "Sons & Daughters" Sanfrancisko.
A spokesperson for Sons & Daughters said they were "shocked and devastated" by his death.	Restorāna "Sons & Daughters" pārstāvis informē, ka ziņa par viņa nāvi viņus šokēja un satrieca.
"We are a small team that operates like a close knit family and he will be dearly missed," the spokesperson said.	"Mēs esam maza komanda, kas strādā kā saliedēta ģimene un mums viņš ļoti pietrūks", teica pārstāvis.
Our thoughts and condolences are with Frank's family and friends at this difficult time.	Šajā grūtajā laikā mēs domās esam kopā ar Frenka draugiem un ģimeni.
Louis Galicia said Frank initially stayed in hostels, but recently, "Things were finally going well for him."	Luiss Galicia stāsta, ka sākumā Frenks esot nakšņojis hosteļos, bet pēdējā laikā dzīve beidzot esot uzlabojusies.
"He found an apartment, he was dating a girl," Louis Galicia told KGO.	"Viņš ievācās jaunā dzīvoklī un satikās ar kādu meiteni", Luiss stāsta radiostacijai KGO.
Louis Galicia said he could not think of anyone who would want to hurt his younger brother.	Luiss Galicia apgalvo, ka nezina, kurš gribētu nodarīt pāri viņa jaunākajam brālim.
He was a kind spirit with a big heart.	Viņš bija labs cilvēks ar plašu sirdi.
His way of connecting with the family was always making us a dish, making us dinner," Louis Galicia said.	"Viņš vienmēr palutināja savu ģimeni, pagatavojot garšīgu maltīti un gatavojot pusdienas", teica Luiss Galicia
He never wanted to be in any kind of altercation.	Viņš nekad nevēlējās iesaistīties strīdos.
He was the brother that went with the flow.	Viņš bija tas brālis, kurš pielāgojās pārējiem.
"With everything else that's going wrong with the world, he was that diamond in the rough that was shining bright every day," he said.	"Ņemot vērā visu, kas pasaulē nogājis greizi, viņš bija kā neapstrādāts dimants, kas ik dienu spoži mirdzēja", viņš saka.
Anyone with information is asked to call the SFPD Tip Line at 415-575-4444.	Ikviens, kuram ir informācija par notikušo, ir aicināts zvanīt uz SFPD Informācijas tālruni 415-575-4444.
Junior doctors strike: Calls for fresh industrial action	Jauno ārstu streiks: aicina uz jauniem protestiem
Representatives of junior doctors have called on their union to authorise fresh industrial action in their dispute about a new contract.	Jauno ārstu pārstāvji pieprasa savu arodbiedrību uzsākt protestus strīdā par jauno līgumu.
The Junior Doctors Committee (JDC) of the British Medical Association (BMA) is to ask its full council to back more industrial action from early September.	Lielbritānijas Medicīnas Asociācijas (LMA) Jauno ārstu komiteja (JAK) gatavojas pieprasīt padomi atbalstīt plašākus protestus septembra sākumā.
The JDC says ministers have failed to address concerns about the contract.	JAK uzskata, ka ministriem nav izdevies kliedēt šaubas par līgumu.
Junior doctors and medical students voted in July to reject a contract deal agreed with the BMA.	Jūlijā jaunie ārsti un medicīnas studenti noraidīja LMA piedāvāto līgumu.
It was rejected by 58% of its members who voted in the ballot.	Pret līgumu nobalsoja 58 % no visiem biedriem, kas piedalījās balsojumā.
In a letter to members released on Twitter on Thursday night, the JDC's chair Ellen McCourt said the government had remained "persistently silent" on issues which, she said, had resulted in the contract being rejected.	Ceturtdienas vakarā publicētajā vēstījumā Twitter, JAK padomes locekle Elēna Makkorta norāda, ka valdība turpina klusēt šajā jautājumā un tādēļ līguma piedāvājums ir noraidīts.
She said: "In light of this, the JDC Executive has voted to reject the proposed new contract in full and to call for formal re-negotiations on all of your concerns."	Viņa teica: "Ņemot to vērā, JAK balsojuma rezultātā līguma piedāvājums ir pilnībā noraidīts un pieņemts lēmums pieprasīt jaunas formālas pārrunas, lai apspriestu svarīgākos jautājumus."
In response to the government's silence, JDC exec has today made a formal request for a special meeting of BMA Council to authorise a rolling programme of escalated industrial action beginning in early September.	Atbildot uz valdības klusēšanu, JAK šodien oficiāli pieprasīja tikšanos ar LMA padomi, lai autorizētu jaunu līgumu izstrādi, kas stātos spēkā septembrī.
The dispute has led to junior doctors taking part in six strikes this year, including the first all-out stoppages in the history of the NHS.	Strīda rezultātā jaunie ārsti piedalījušies sešos streikos, tai skaitā, pirmo reizi NHS vēsturē pārtraukuši darbu.
The BMA's junior doctor leader, Dr Johann Malawana, resigned following the vote to reject the negotiated terms of the contract, which the BMA had recommended.	Pēc balsojuma, ar kuru tika noraidīti LMA piedāvātie līguma nosacījumi, ko rekomendēja BMA, no amata atkāpās LMA jauno ārstu pārstāvis Dr. Johans Malawana.
He had told BMA members the deal was a good one that should be accepted, during meetings ahead of the poll of 54,000 junior doctors and medical students.	Pirms tikšanās ar 54 000 jaunajiem ārstiem un medicīnas studentiem, viņš bija teicis BMA biedriem, ka piedāvājums ir labs un tiks pieņemts.
Following the vote, Health Secretary Jeremy Hunt said the contract would be imposed on medics in England.	Pēc balsošanas, veselības sekretārs Džeremijs Hants informēja, ka līgums tiks noslēgts ar Anglijas mediķiem.
Russia and Turkey: An 'alliance of misfits'?	Krievija un Turcija: Atstumto alianse?
It was a gesture that ended a crisis.	Žests, kas izbeidza krīzi.
The leaders of Russia and Turkey met on Tuesday to shake hands and declare a formal end to an eight-month long war of words and economic sanctions.	Krievijas un Turcijas vadītāji tikās otrdien, lai sarokotos un paziņotu par astoņus mēnešus ilgušā vārdu un ekonomisko sankciju kara beigām.
But, as Vladimir Putin greeted his Turkish counterpart in the gilded hall of a St. Petersburg palace, I got the distinct impression that Ankara wants this reconciliation the most.	Taču Vladimiram Putinam sasveicinoties ar Turcijas līderi Sanktpēterburgas pilī, radās iespaids, ka šīs partnerattiecības vairāk ir vajadzīgas Ankarai.
There was the handshake, yes.	Tomēr abi sarokojās.
But Mr Putin's smile looked thin and he was hardly oozing warmth even by his own restrained standards.	Vladimira Putina smaids izskatījās samākslots un neizraisīja siltas emocijas, pat ņemot vērā viņa ierasto atturību.
Recep Tayyip Erdogan by contrast talked repeatedly of his "dear friend" Mr Putin - five times, according to one report.	Turpretī redžeps Tajjips Erdogans vismaz piecas reizes nodēvēja Putinu par savu "dārgo draugu", vēsta tikšanās apskats.
I lost count.	Man nojuka skaits.
He also pledged that relations with Russia would return not just to their pre-crisis level, but even higher.	Tāpat viņš solīja, ka attiecības ar Krieviju ne tikai uzlabosies līdz pirmskrīzes līmenim, bet kļūs vēl stiprākas.
The next day one newspaper here described Mr Erdogan as acting as if nothing bad had ever happened.	Nākamajā dienā kāds laikraksts ziņoja, ka Erdogans uzvedies tā, it kā nekas nebūtu noticis.
To me, his enthusiasm implied the opposite.	Manuprāt, viņa entuziasms izraisa pretrunīgas izjūtas.
But a lingering coolness emanating from Mr Putin showed that Russia's leader has forgotten nothing.	Taču no Putina starojošais vēsums liecina, ka Krievijas līderis neko nav aizmirsis.
In fact, the cause of the crisis was the first thing he mentioned in his opening comments: Turkey's shooting down of a Russian fighter plane on the Syrian border.	Pirmais, ko viņš pieminēja savā uzrunā, bija Krievijas lidmašīnas notriekšana uz Sīrijas robežas.
Moscow's reaction at the time was furious.	Toreiz Maskava reaģēja asi.
Mr Putin lashed out, accusing Ankara of stabbing Moscow in the back.	Putins apsūdzēja Ankaru, ka tā iedūrusi dunci Maskavas mugurā.
The offence was even greater, coming from a supposed friend.	Pāridarījums bija vēl sāpīgāks, ņemot vērā, ka tas nāca no drauga puses.
Rebuilding real trust will be hard, perhaps impossible.	Atjaunot patiesu uzticību būs ļoti grūti, varbūt pat neiespējami.
Russian public opinion has also turned since November.	Kopš novembra Krievijas publiskā nostāja gan ir mainījusies.
For months, state-controlled media conducted a staggering, all-out offensive against Ankara.	Vairākus mēnešus valdības kontrolētā televīzija izplatīja agresīvus apvainojumus pret Ankaru.
All of a sudden, it seemed like Turks were to blame for everything.	Pēkšņi likās, ka pie visa bija vainīgi turki.
Most serious were accusations from top officials that Mr Erdogan's own family has profited from an illegal trade in oil from areas of Syria controlled by the so-called Islamic State.	Visnopietnākās bija apsūdzības, ka paša Erdogana ģimene guvusi peļņu no nelegālās naftas tirdzniecības ar Islāma Valsts kontrolēto Sīrijas daļu.
He's denied that emphatically.	Viņš pats to, protams, noliedza.
But in St. Petersburg came the official message that it's time to move on.	Taču Sanktpēterburgas tikšanās galvenais vēstījums, ka pienācis laiks aizmirst pagātni.
After all, this meeting only happened because Mr Putin got the apology he demanded from President Erdogan.	Galu galā šī tikšanās notika tikai tādēļ, ka Putins saņēma prezidenta Erdogana atvainošanos.
Russia could claim a victory of sorts.	Krievija to varētu uztvert kā sava veida uzvaru.
For Ankara the benefits of calling a truce are clear.	Ankaras ieguvums no miera izlīguma ir acīmredzams.
First and foremost, Erdogan needs all the friends he can get after he was nearly ousted from power last month in a failed coup.	Pirmkārt, Erdoganam ir vajadzīgi visi iespējamie draugi pēc neveiksmīgā apvērsuma pagājušajā mēnesī, kurā viņu mēģināja gāzt.
Repeat terror attacks on Turkey have clearly shaken him too.	Arī neskaitāmie teroristu uzbrukumi ir satricinājušas viņa pozīcijas.
There is also an economic motive.	Tāpat ir arī ekonomiskie motīvi.
Russian sanctions have hit hard - particularly the ban on charter flights, which usually carry several million Russian tourists to the Turkish coast each year.	Krievijas sankcijas ir radījušas pamatīgus zaudējumus, it sevišķi čarterreisu aizliegums, kas parasti katru gadu nodrošina vairāku miljonu krievu tūristu pieplūdumu Turcijas kūrortos.
The number has slumped by almost 90%.	Tūristu skaits samazinājās gandrīz par 90%.
As for Russia, tour operators and charter companies here will certainly be relieved when flights eventually resume.	Arī Krievijas tūroperatori un čarterkompānijas atviegloti uzelpos, kad tiks atjaunoti regulārie lidojumi.
They're banking on a late-season rush to the Mediterranean.	Viņi cer uz atvaļinājumu drudzi Vidusjūrā sezonas izskaņā.
And even this week, state TV has been predicting cheaper fruit and vegetables once Turkish agricultural imports are permitted again.	Jau šonedēļ valsts TV paredz augļu un dārzeņu cenu pazemināšanos, jo tiks atjaunots Turcijas augļu un dārzeņu imports.
"Tourists that way, tomatoes back here," as a report in Vedemosti newspaper phrased it.	Kā citē vietējais laikraksts Vedemosti: "Tūristus viņiem, tomātus mums."
But the visit also had additional political value for Moscow.	Taču vizītei bija arī citi politiskie motīvi no Maskavas puses.
Ankara is angry with the West for what it considers a weak response to the attempted takeover.	Ankara ir dusmīga uz Rietumiem par, viņuprāt, vājo reakciju uz apvērsuma mēģinājumu.
Add to that its long-standing grudge at the snail's pace of talks to join the EU and step in Mr Putin - who is keen to capitalise on the chill and chip away at Turkey's ties with the West.	Pie visa var pieskatīt arī neapmierinātību ar ieilgušajām sarunām par pievienošanos ES un Putina iejaukšanos, kurš labprāt izmanto situāciju, ka Turcija atsvešinājusies no Rietumiem.
