Munich 1856: Four maps that will change your view of the city	München 1856: Vier Karten, die Ihren Blick auf die Stadt verändern
A mental asylum, where today young people are said to meet.	Eine Irren-Anstalt, wo sich heute Jugendliche begegnen sollen.
A crypt chapel, where they are now digging tunnels for the S-Bahn.	Eine Gruftkapelle, wo nun für den S-Bahn-Tunnel gegraben wird.
Allotment holders cultivate the soil of former farmers.	Kleingärtner bewirtschaften den einstigen Grund von Bauern.
The oldest official map of Munich brings captivating stories to light.	Die älteste offizielle Karte Münchens fördert spannende Geschichten zu Tage.
It is annoying when geographical maps are not up-to-date.	Es nervt, wenn Landkarten nicht aktuell sind.
Anyone who has ever got worked up because the car's sat-nav is showing a green field instead of a bypass knows that.	Das kennt jeder, der sich schon mal aufregen musste, weil das Auto-Navi statt einer Umgehungsstraße eine grüne Wiese anzeigte.
The historical maps of the digital BayernAtlas, an offering from the State Government's Geoportal Bayern, are anything but up-to-date – and yet it is precisely for this reason that they are so informative.	Die historischen Landkarten des digitalen Bayern-Atlases, ein Angebot des Geoportals Bayern der Staatsregierung, sind alles andere als aktuell - doch gerade deshalb sehr aufschlussreich.
Especially when one compares them with current online maps.	Besonders wenn man sie mit aktuellen Online-Karten vergleicht.
Then it becomes clear how the towns and municipalities in the distribution area of Munich's Merkur newspaper have changed since the 19th century.	Dann wird deutlich, wie sich Städte und Gemeinden im Verbreitungsgebiet des Münchner Merkur seit dem 19. Jahrhundert verändert haben.
The digital BayernAtlas is a patchwork quilt that one doesn't quite recognise for what it is at first.	Der digitale Bayern-Atlas ist ein Flickenteppich, den man als solchen nicht gleich erkennt.
Within the large overview map, were worked in detailed maps for towns and municipalities, so-called original-lay-of-the-land sheets.	In die große Übersichtskarte wurden für Städte und Gemeinden detailliertere Karten, sogenannte Urpositionsblätter, eingearbeitet.
According to information from the Bavarian Surveying and Mapping Authority, these came into being between 1810 and 1864 and arise out of the first survey of Bavaria.	Diese entstanden nach Angaben der Bayerischen Vermessungsverwaltung zwischen 1810 und 1864 und entspringen der ersten Vermessung Bayerns.
Their commissioner: Napoleon.	Ihr Auftraggeber: Napoleon.
The French army commander had occupied Bavaria since the spring in 1800, during the War of the Second Coalition with Austria.	Der französische Heeresführer besetzte Bayern seit dem Frühjahr 1800 während des Zweiten Koalitionskrieges mit Österreich.
Napoleon wanted to gain an overview of the occupied land and commissioned a topographical survey – naturally for military purposes.	Napoleon wünschte sich einen Überblick über das besetzte Land und gab eine topographische Aufnahme Bayerns in Auftrag - natürlich zu militärischen Zwecken.
Even if the French troops finally retreated with the Treaty of Lunéville from 9th February 1801: it was the current neighbours who had the idea to create a comprehensive map of Bavaria.	Auch wenn die französischen Truppen mit dem Frieden von Lunéville vom 9. Februar 1801 schließlich abzogen: Es waren die heutigen Nachbarn, die die Idee einer flächendeckenden Bayern-Karte kreierten.
Elector Max IV. Joseph propelled the project further forward, founding the "Topographical Bureau" – and with that, the Bavarian Surveying and Mapping Authority.	Kurfürst Max IV. Joseph trieb das Projekt weiter voran, gründete das "Topographische Bureau" - und damit die Bayerische Vermessungsverwaltung.
The original lay-of-the-land sheet for Munich originates from 1856 and, like all the others, can be found on the website of the Bavarian State Library.	Das Urpositionsblatt für München stammt aus dem Jahr 1856 und ist wie sämtliche andere auf der Internetseite der Bayerischen Landesbibliothek zu finden.
The comparison of past/present is most impressive taking the example of the state capital.	Der Vergleich Früher/Heute ist am Beispiel der Landeshauptstadt am eindrücklichsten.
The city has stretched out in all directions and coalesced.	Die Stadt hat sich in alle Richtungen ausgedehnt und ist zusammengewachsen.
An example of this is Untersendling, which still appears relatively isolated on the map from 1856.	Ein Beispiel dafür ist Untersendling, das in der Karte von 1856 noch relativ isoliert auftaucht.
Sendling was incorporated as an urban district of Munich 21 years after the map was created.	Sendling wurde 21 Jahre nach Erstellung der Karte, also 1877, als Münchner Stadtteil eingemeindet.
Today, Untersendling lies in the middle of the city.	Heute liegt Untersendling mitten in der Stadt.
Around 1856, Untersendling's houses are concentrated along what is today Plinganserstraße, which was first named in 1878 after Georg Sebastian Plinganser, a ringleader of the Bavarian farmers' revolt against Austria in 1705.	Die Häuser Untersendlings konzentrieren sich um 1856 entlang der heutigen Plinganserstraße, die erst 1878 nach Georg Sebastian Plinganser benannt wurde, einem Anführer des Aufstands der bayerischen Bauern gegen Österreich 1705.
Where the West Park is today, one sees nothing but field – at first sight: upon zooming in, a more detailed small-scale map with dozens of lines and numbers appears: hand-numbered plots from the so-called "original record", from which the property tax was derived.	Wo heute der Westpark ist, sieht man nichts als Felder - auf den ersten Blick: Beim Hineinzoomen erscheint eine kleinteiligere Karte mit dutzenden Linien und Zahlen: handschriftlich nummerierte Flurstücke aus der sogenannten "Uraufnahme", aus der die Grundsteuer abgeleitet wurde.
Today, it is no longer farmers who occupy small parcels there – rather, it is allotment holders of the "Land in Sonne" facility.	Kleine Parzellen belegen dort heute keine Landwirte mehr - sondern Kleingärtner der Anlage "Land in Sonne".
A large green area is apparent to the north of Untersendling.	Eine große Grünfläche zeichnet sich nördlich von Untersendling ab.
Theresienwiese, since 1810 the scene of Oktoberfest, was in the 19th century still actually a "Wiese" – a meadow – and not a concrete wasteland.	Die Theresienwiese, seit 1810 Schauplatz des Oktoberfests, war im 19. Jahrhundert tatsächlich noch eine Wiese - und keine Betonwüste.
On the other side of the Isar, the historical map gives an insight into the history of psychiatric medicine.	Auf der anderen Seite der Isar gibt die historische Karte einen Einblick in die Geschichte der psychiatrischen Medizin.
In the original lay-of-the-land sheet, in the area where today the borough of Au-Haidhausen is, one can make out not only the street name "am Gasteig" or the elevation "Auf der Lüften" – but can actually read in large letters "mental asylum".	Im Urpositionsblatt liest man im Gebiet des heutigen Bezirks Au-Haidhausen nicht nur den Straßennamen "am Gasteig" oder von der Anhöhe "Auf der Lüften" - sondern auch in großen Buchstaben "Irren Anstalt".
Yes, here on Auerfeldstraße, they once imprisoned people with delusions.	Ja, hier an der Auerfeldstraße sperrte man einst Menschen mit Wahnvorstellungen ein.
The Munich district mental asylum "Auf der Auer Lüften" had come to life there in 1858/59.	Dort war 1858/59 die Münchner Kreis-Irrenanstalt "Auf der Auer Lüften" entstanden.
From 1872, Dr. Bernhard von Gudden led the institution – the psychiatrist who is associated with the death of King Ludwig II.	Ab 1872 leitete Dr. Bernhard von Gudden die Einrichtung - jener Psychiater, der in Zusammenhang mit dem Tod von König Ludwigs II. gebracht wird.
