Four members of the Kemerovo group arrested in Estonia and Spain	Eestis ja Hispaanias peeti kinni neli Kemerovo grupeeringu liiget
According to Postimees, police in Spain have arrested Slava Gulevich, the head of the so-called Kemerovo group operating in the Estonian underworld, known in the criminal world by the name of Slava Kemerovsky.	Postimehe andmetel pidas politsei Hispaanias kinni Eesti allilmas tegutseva niinimetatud Kemerovo grupeeringu juhi Slava Gulevitši, keda kuritegelikus maailmas tuntakse Slava Kemerovski nime all.
A court had issued for the arrest of Gulevich in Spain.	Hispaanias kinni peetud Gulevitš vahistati kohtu loal.
Yesterday the court also ordered that three suspects detained in Estonia be held.	Eile võttis kohus ka kolm Eestis kinni peetud kahtlustatavat vahi alla.
According to the complaint, they are members of the so-called Kemerovo criminal organization ranging in age from 27 to 57 and committing primarily drug-related crimes.	Kahtlustuse järgi on tegemist niinimetatud Kemerovo kuritegeliku ühenduse liikmetega vanuses 27-57 eluaastat, kes panevad peamiselt toime narkokuritegusid.
In the Mijas province of Malaga in Spain, the alleged boss of a criminal organization was detained.	Hispaanias Malaga provintsis Mijases peeti kinni kuritegeliku ühenduse väidetav juht.
Three men were detained as suspects in Estonia; according to the gathered evidence, one of them is a leading figure of a criminal organization and two of them are members of a criminal organization.	Eestis peeti kahtlustatavana kinni kolm meest, neist üks on kogutud andmete kohaselt kuritegeliku ühenduse juhtfiguur ning kaks on kuritegeliku ühenduse liikmed.
The gathered information points to a clear division of roles and functions in the criminal organization.	Kogutud andmed viitavad sellele, et kuritegelikus ühenduses olid selgelt ära jaotatud ülesanded ja rollid.
The objective of the criminal organizations activity was to commit to drug crimes, and thereby earn criminal gains,” commented the head of pretrial proceedings in the criminal case, public prosecutor Vahur Verte.	Kuritegeliku ühenduse tegevuse eesmärk oli toime panna narkokuritegusid ning seeläbi teenida kriminaaltulu", kommenteeris kriminaalasja kohtueelse menetluse juht, riigiprokurör Vahur Verte.
“We can’t rule out that the number of suspects in this criminal case will increase.”	"Me ei välista, et kõnealuses kriminaalasjas kahtlustatavate ring suureneb", lisas prokurör.
These are people who have been in the sphere of interest for law-enforcement agencies in the past and some of them have been punished for drug crimes.	Tegemist on inimestega, kes on ka varem õiguskaitseasutuste huviorbiiti sattunud, ning mõned neist on narkokuritegude eest karistust kandnud.
