Breaking news: Our Cosmic Visitor Huge Asteroid 2014 JO25	Son dakika: Kozmik Ziyaretçimiz Dev Asteroit 2014 JO25
In our Solar System there are perhaps more than billion huge, stray meteors that would cause serious consequences should they collide.	Güneş Sistemi'nde başıboş dolaşan ve çarptığında ciddi sonuçlara neden olabilecek milyarlarca belki daha fazla dev göktaşı bulunuyor.
Left over from the sun’s formation and having either closed or open orbits, these objects could, at times, cross Earth’s path.	Güneş"in oluşumundan kalan kapalı veya açık yörüngelere sahip olabilen bu cisimlerin yolu bazen Dünya'dan geçebiliyor.
With a diameter of 650 meters, asteroid 2014 JO25 is such a visitor, and today at 14:24 will pass by Earth, at its closest point 1.75 million kilometers away.	650 metre çapındaki asteroit 2014 JO25 de böyle bir ziyaretçi ve bugün saat 14:24"te Dünya'ya en yakın konum olan 1.75 milyon km uzaklıktan geçip gidecek.
As time passes, we have started to hear such types of reports more and more.	Gün geçtikçe bu tarz haberleri daha sık duyar hale geldik.
The most important cause of this are developments in observational techniques and tools.	Bunun en önemli nedeni gözlem teknikleri ve gözlem aletlerindeki gelişmeler.
Consequently, we are able to identify small asteroids which could not previously be identified.	Bu sayede daha önce belirlenemeyen daha küçük boyuttaki asteroitleri de belirleme imkanımız var.
For example, last January a bus-sized asteroid passed by within half the distance between the Earth and the Moon (~250,000 km).	Örneğin geçen Ocak ayında otobüs büyüklüğünde bir asteroit Dünya ve Ay mesafesinin sadece yarısı (~250.000 km) bir mesafeden geçip gitmişti.
And more importantly, the asteroid could be identified only a couple days before it passed by.	Ve daha da ilginci asteroit geçişten sadece birkaç gün önce belirlenebildi.
That is to say, we could have more cosmic buses coming at us.	Yani şu an üstümüze gelen başka kozmik otobüsler olabilir.
Just imagine: What would you do if you learnt that a 20 meter diameter asteroid would fall in the middle of your neighborhood?	Düşünün eğer 20 metre çapındaki bir asteroidin bulunduğunuz mahallenin tam ortasına düşeceğinin haberini alırsanız ne yaparsınız?
Actually, an asteroid of that size would not wipe out your neighborhood, but it’d probably blast out all of the buildings’ windows.	Aslında bu boyuttaki asteroitler mahallenizi yok etmez ama muhtemelen tüm binaların camları patlayacaktır.
