This is perfectly illustrated by the UKIP numbties banning people with HIV.	Les demeurés de UKIP qui refusent ceux qui vivent avec le VIH sont un exemple parfait.
You mean Nigel Farage saying the NHS should not be used to pay for people coming to the UK as health tourists, and saying yes when the interviewer specifically asked if, with the aforementioned in mind, people with HIV were included in not being welcome.	Vous parlez de quand Nigel Farage dit que le NHS ne doit pas servir à payer pour ceux qui viennent au Royaume-Uni faire du tourisme de santé, et quand, avec ça à l'esprit, il répond oui quand l'intervieweur lui demande spécifiquement si les personnes vivant avec le VIH sont inclus dans les indésirables.
You raise a straw man and then knock it down with thinly veiled homophobia.	D'abord vous utilisez des arguments spécieux, puis vous les discréditer par une homophobie à peine voilé.
Every time I or my family need to use the NHS we have to queue up behind bigots with a sense of entitlement and chronic hypochondria.	Chaque fois que moi ou ma famille avons besoin du NHS, nous devons faire la queue derrière des intolérants à l'hypocondrie chronique qui pensent que tout leur est dû.
I think the straw man is yours.	Je crois que c'est vous qui utilisez des arguments spécieux.
Health tourism as defined by the right wing loonies is virtually none existent.	Le tourisme de santé, tel que défini par les cinglés de droite, n'existe pratiquement pas.
I think it's called democracy.	Je crois que c'est ce qu'on appelle la démocratie.
So no one would be affected by UKIP's policies against health tourism so no problem.	Alors personne ne serait affecté par les mesures de UKIP contre le tourisme de santé, donc il n'y a aucun problème.
Only in UKIP La La Land could Carswell be described as revolutionary.	Il n'y a que dans l'univers parallèle de UKIP que Carswell peut apparaître comme un révolutionnaire.
Quoting the bollox The Daily Muck spew out is not evidence.	Une citation tirée d'un torchon ne constitue par une preuve.
Ah, shoot the messenger.	Oui, tirez donc sur le messager.
The Mail didn't write the report, it merely commented on it.	Le Mail n'a pas écrit le rapport, il n'a fait que le commenter.
Whoever controls most of the media in this country should undead be shot for spouting populist propaganda as fact.	Ceux qui contrôlent la majorité des médias dans ce pays devraient être fusillés pour avoir propagé une telle propagande populiste comme si c'était la réalité.
I don't think you know what a straw man is.	Je ne pense pas que vous sachiez ce qu'est un argument spécieux.
You also don't know anything about my personal circumstances or identity so I would be very careful about trying to eradicate a debate with accusations of homophobia.	Vous ne savez rien non plus de ma situation personnelle ou de mon identité, alors vous devriez faire attention quand vous tentez de tuer le débat par des accusations d'homophobie.
Farage's comment came as quite a shock, but only because it is so rarely addressed.	La phrase de Farage a beaucoup surpris, mais seulement parce qu'on parle si rarement de ce problème.
He did not express any homophobic beliefs whatsoever.	Il n'a fait absolument aucune remarque homophobe.
You will just have to find a way of getting over it.	Il va falloir que vous réussissiez à vous en remettre.
I'm not entirely sure what you're trying to say, but my guess is that you dislike the media reporting things you disagree with.	Je ne suis pas bien sûr d'où vous voulez en venir, mais j'imagine que vous n'aimez pas quand les médias parlent de ce que vous n'aimez pas.
It is so rarely addressed because unlike Fararge and his Thatcherite loony disciples who think aids and floods are a signal from the divine and not a reflection on their own ignorance in understanding the complexities of humanity as something to celebrate,then no.	On en parle si rarement parce que contrairement à Farage et à ses disciples cinglés de Thatcher qui pensent que le sida et les inondations sont un signe de dieu et non pas une réflexion sur leur propre incapacité à comprendre que les complexités de l'humanité sont quelque chose de bien, alors non.
In the end the situation is just as bad in Ireland as it is in Spain.	Finalement la situation est aussi pourrie en Irlande qu'en Espagne.
With the new crisis coming, the period of austerity will not have fixed anything.	Avec la nouvelle crise qui arrive la période d'austérité n'aura rien arrangé.
Hoping for almost 5% growth in 2015 is a real joke.	Espérer presque 5% de croissance en 2015 c'est une grosse plaisanterie.
Ireland, the "EUROPEAN TIGER" they used to speak highly of to us years ago.	L' Irlande le '' TIGRE DE L'EUROPE'' nous vantait-on, il y a quelques annees.
We know the rest!	On a connu la suite !
It is starting again when you read this article.	Cela recommmence a lire l'article.
They're trying to pretend that Ireland is a virtuous country and that a "NEW ECONOMIC MIRACLE" is happening.	On tente de faire croire que l'Irlande est un pays vertueux et qu'un '' NOUVEAU MIRACLE ECONOMIQUE'' est en train de se produire.
With the agreement of Brussels, the lowest taxes on companies in Europe, a very flexible labor market, continuing emigration.	Avec l'accord de Bruxelles, impots sur les societes les plus bas d'Europe, un marche du travail tres souple, une emigration qui continue.
With these ingredients, there is nothing to "crow about" for the time being with the arrival of the Poles.	Avec ces ingredients pas de quoi '' pavoiser'' pour le moment avec la venue des Polonais.
In the 80s in the twentieth century, Ireland was one of the poorest countries in the European Union, along with Portugal. Considering a constant perimeter, without the new countries, the situation is still better than it ever was.	Dans les années 80 du vingtieme siecle, l'irlance etait l'un des pays les plus pauvres de l'union europeene, avec le portugal En considerant un perimetre constant, sans les nouveauy pays, la situation est toujours meilleure qu'elle ne fut.
Greece was ahead.	La Grece etait devant.
It is clear that their development was not a long quiet river, given the recent events.	Que leur developement n'est pas été un long fleuve tranquille, c'est sur au vu des évenement récent.
The lowest taxes in Europe?	Taux d'impots le plus bas d'Europe?
That is not correct!	C'est faux!
Latvia has a 0% tax rate for companies.	La Lettonie a un taux d'impots de 0% sur les entreprises.
Now there is real hypocrisy in France from politicians on the taxes that multinationals really pay.	Maintenant il y a une reelle hypocrisie en France de la part des politiques sur les impots reellement payes par les multinationales.
If we believe a report released in 2008 or 2009, they generally pay less than 5% in France.	Si l'on en croit un rapport sorti en 2008 ou 2009, elles payent en France moins de 5% en general.
Only SMEs pay the full lot.	Seules les PME payent plein pot.
Now I confirm that road traffic has become huge again, and there are new (and expensive) cars on every street corner, exactly like before the 2008 crisis.	Maintenant je confirme que le traffic routier est redevenu enorme, et il y a des voitures neuve (et chere) a tout les coins de rue, exactement comme avant la crise de 2008.
I have lived in Dublin for 14 years, the recovery is evident in the daily traffic jams from when the schools go back.	Je vis a Dublin depuis 14 ans, la reprise est évidente dans les bouchons quotidiens depuis la rentrée.
This is business news?	C'est censé être de l'actualité économique ?
Don't worry, I'm sure the comments section will take off soon.	Ne vous inquiétez pas, je suis sûr que les commentaires vont bientôt s'enflammer.
In another article they're drafting now, there were 2 Vauxhaul Astra's involved in a fender bender on the A140.	Dans un autre article qu'ils sont en train d'écrire, 2 Vauxhaul Astra sont impliquées dans un accrochage sur l'A140.
Is this how Ryanair now plan for passengers to transfer flights?	Est-ce que Ryanair compte maintenant transférer les passagers d'un vol à l'autre de cette façon ?
Gather Mr O'Leary is buying a whole new fleet of planes soon so a few bumps and scratches on his old ones will soon be forgotten.	Je crois que M. O'Leary va bientôt acheter toute une nouvelle flotte d'appareils, donc quelques bosses et rayures sur les anciens seront vite oubliés.
Mind you I'm flying with him next week so hope it won't be on one of these two after they've been patched up.	Cela dit je vole avec lui la semaine prochaine, alors j'espère que ce ne sera pas sur l'un de ces deux-là une fois rafistolés.
That'll be all the other pilot's fault then.	Alors ce serait entièrement de la faute de l'autre pilote.
Did RyanAir charge the passengers for the extra fear they were supplied with?	Est-ce que Ryanair a fait payer un supplément aux passagers pour la peur additionnel qu'on a bien voulu leur fournir ?
Only for Irish companies like this you couldn't afford to go on hols young man	Mais sans ce genre d'entreprises irlandaises, vous ne pourriez pas vous permettre de partir en vacances, jeune homme
I've never flown Ryanair and the last 3 times I flew I went BA.	Je n'ai jamais pris Ryanair et les 3 dernières fois que j'ai pris l'avion c'était avec BA.
I prefer my airlines to offer me customer service.	Je préfère quand la compagnie aérienne propose un service de qualité.
No, but its Ryanair, so they can have a pop.	Non, mais c'est Ryanair, alors ils peuvent s'en donner à cœur joie.
Any article about Ryanair attracts dozens of comments from people who would never fly Ryanair, to those who like flying Ryanair and think anyone paying anything more than the basic fare has only themselves to blame, etc.	N'importe quel l'article sur Ryanair déclenche des dizaines de commentaires de gens qui ne prendraient jamais Ryanair à l'endroit de ceux qui aiment prendre Ryanair et pensent que ceux qui paient autre chose que le tarif de base n'ont qu'à s'en prendre à eux-mêmes, etc.
It's pretty transparent.	C'est assez transparent.
Ryanair are not going to be happy about the extra cost involved in this incident.	Ryanair ne va pas être content des frais supplémentaire dus à cet incident.
I wonder how long the delays will be and will compensation to passengers by due and if so, can Ryanair then get out of paying as they can say it was the airport air traffic controllers error.	Je me demande quels vont être les retards et s'il va falloir indemniser les passagers et, si c'est le cas, si Ryanair va pouvoir éviter de payer en disant qu'il s'agissait d'une erreur des contrôleurs aériens de l'aéroport.
Pax were on a different aircraft within an hour, no compo due.	Les passagers ont été mis dans un autre avion en moins d'une heure, ils n'ont droit à aucune indemnisation.
Sorry to disappoint you and your compo state of mind.	Désolé de vous décevoir vous et vos rêves d'indemnisation.
You're all welcome on board this British airways flight bringing British Isis to Syria, init as you say.	Bienvenus à bord de ce vol British Airways qui emmène l'ISIS anglais en Syrie, pas vrai comme vous dites.
Enjoy the ride	Bon voyage
Last Sunday in Paris, rue des Francs-Bourgeois: le Marais is largely pedestrianized, and is literally swarming with people.	Dimanche dernier à Paris, rue des Francs-Bourgeois : le Marais est en grande partie piétonnier, et grouille littéralement de monde.
The people have not come en masse for the quality of the restaurants (ordinary, for the most part) or for the Journal fair at the Espace des Blancs-Manteaux (hyper-intellectual and slightly outmoded).	Les gens ne viennent pas en masse pour la qualité des restaurants (quelconques, pour la plupart) ni pour le Salon de la revue à l'Espace des Blancs-Manteaux (hyper-intellectuel et légèrement poussiéreux).
The reason for this crowd is that the shops are all open and the area is incredibly lively and animated.	La raison de cette foule, c'est que les magasins sont tous ouverts et que le quartier est incroyablement vivant et animé.
With a lot of foreigners who spend...	Avec beaucoup d'étrangers qui dépensent .....
Do you think that opening on Sundays is going to create jobs?	Vous croyez que l'ouverture du dimanche va créé des emplois?
Go to Paris Rue des Francs Bourgeois where the shops are open on Sunday, full of people with 50% tourists.	Allez a Paris Rue des Francs Bourgeois où les boutiques sont ouvertes le Dimanche, bourrée de monde avec 50% de touristes .
@aloes False!	@aloes Faux !
The only argument that would seem admissible to me is the one of the areas that receive a significant number of foreign tourists and this is nuanced by the fact that they are buying tax-free.	Le seul argument qui me paraîtrait recevable est celui des zones recevant un nombre important de touristes étrangers et il est nuancé par le fait qu'ils achètent en détaxe.
Tourist areas lose a considerable amount of sales revenue each year for the same reasons.	Les zones touristiques perdent chaque année un volume considérable de chiffre d'affaire pour les mêmes raisons .
The industry remains, where expensive equipment, used on Sunday, makes it possible to lower prices.	Reste l'industrie où des équipements coûteux, exploités le Dimanche, permettent de baisser les prix .
Sunday rest is a right that employees, besides exceptions, enjoy.	Le repos dominical est un droit dont bénéficient, sauf exceptions, les salariés.
That's the reason why it is provided for and regulated by the labor code.	C'est la raison pour laquelle il est prévu et règlementé par le code du travail.
Neither the ministry responsible for the economy, nor, moreover, the one responsible for foreign affairs, have the slightest competence to reform the labor code.	Ni le ministre chargé de l'économie, ni, du reste, celui chargé des affaires étrangères, ne disposent de la moindre compétence pour réformer le code du travail.
So they should shut up.	Alors qu'ils la bouclent.
What use is the law?	La loi ça sert à quoi?
To satisfy a part of the population and the companies who want to work on Sunday.	A satisfaire une partie de la population et des entreprises qui souhaitent travailler le Dimanche .
In Montreal on Sunday afternoon, I take my grandchildren to the municipal library.	À Montréal le dimanche apm j'emmène mes petits enfants à la bibliothèque municipale.
In my Town with 30,000 inhabitants where I live in France, the municipal library is open 4 days a week but not at the weekend!	Dans ma Ville de 30000 habitants où j'habite en France la biblio municipale est ouverte 4 jours par semaine mais pas le we!
That is access to culture...	C'est cela l'accès à la culture ...
And that is also the regulation of working times.	Et c'est celà aussi la réglementation du temps de travail.
the way of life that he defended so tenaciously against fascism	le mode de vie qu'il a défendu avec ténacité contre le fascisme
the way of life that he defended so tenaciously against fascism and Bolshevism	le mode de vie qu'il a défendu avec ténacité contre le fascisme et le bolchevisme
How about the estate of his daughter, despite her will, is simply told to pay up on IHT?	Et si la succession de sa fille était, contre sa volonté, utiliser pour payer les frais de succession ?
They are paintings.	Il y a des peintures.
Some OK, some poor.	Certaines sont bien, d'autres pas terribles.
Doubtless the estate would want their pound of flesh so to speak.	Sans doute que sa succession voudrait sa part du gâteau, si vous me passez l'expression.
his preference for the Nationalists/Franco winning the Spanish Civil war..	sa préférence pour une victoire des nationalistes/Franco dans la guerre civile espagnole...
And his antipathy towards independence for places like Ireland and India and his overall fascist view and throw in his well known hatred of the Jews.	Et son hostilité à l'indépendance d'endroits comme l'Irlande et l'Inde et ses idées fascistes dans leur ensemble et ajoutez aussi sa haine bien connue des Juifs.
Churchill wasn't perfect.	Churchill n'était pas parfait.
Neither am I.	Moi non plus.
But for 5 years, and five years only mind, he was perfect.	Mais pendant 5 ans, et seulement pendant cinq ans, il a été parfait.
He stood against his fellow aristos in Government in 1940 who wanted to discuss ' terms' with the nazis and very cleverly saw them off.	En 1940 Il a tenu tête aux autres aristos du gouvernement qui voulaient discuter un « accord » avec les nazis et il a très habilement gagné.
By dint of his magnificent oratory and energy he brought this country together to understand that fighting the fascists was the only way to win.	Grâce à sa rhétorique magnifique et à son énergie, il a uni le pays dans l'idée que lutter contre les fascistes était la seule façon de gagner.
