Civil rights group issues travel warning for Missouri	Hnutí za občanská práva vydalo cestovní výstrahu pro Missouri
The National Association for the Advancement of Colored People has put out an alert for people of color traveling to Missouri because of the state's discriminatory policies and racist attacks.	Národní asociace pro zvýhodňování barevných lidí (NAACP) zveřejnila varování pro barevné lidi cestující do Missouri na základě diskriminačních zásad státu a rasistických útoků.
"The NAACP Travel Advisory for the state of Missouri, effective through August 28th, 2017, calls for African American travelers, visitors and Missourians to pay special attention and exercise extreme caution when traveling throughout the state given the series of questionable, race-based incidents occurring statewide recently, and noted therein," the group's statement reads.	„Cestovní doporučení NAACP pro stát Missouri, s účinností od 28. srpna 2017, vyzývá afroamerické cestující, návštěvníky a obyvatele Missouri, aby při cestování napříč státem dbali zvýšené pozornosti v důsledku série sporných rasově motivovaných incidentů, ke kterým v současné době dochází v celém státu,“ stojí v prohlášení asociace.
A recent Missouri law making it harder for people to win discrimination lawsuits, as well as the state's law enforcement disproportionately targeting minorities prompted the group to issue the travel alert, the NAACP said.	NAACP uvedlo, že k tomuto kroku přistoupilo na základě současných zákonů státu Missouri, které znesnadňují obhajobu rasisticky motivovaných činů před soudem, stejně jako v důsledku jednání orgánů činných v trestním řízení, které nepřiměřeně cílí na menšiny.
"You have violations of civil rights that are happening to people.	„Dochází k porušování občanských práv.
They're being pulled over because of their skin color, they're being beaten up or killed," the president of the Missouri NAACP, Rod Chapel, told The Kansas City Star.	Lidé jsou zastavováni policisty jen kvůli barvě své pleti, jsou napadán nebo zabíjeni,“ uvedl pro Kansas City Star prezident NAACP pro Missouri Rod Chapel.
"We are hearing complaints at a rate we haven't heard before."	„Hromadí se nám dosud největší množství stížností.“
It is the first such warning that the organization has issued for a state in the US.	Jedná se o první varování svého druhu, které organizace vydala pro stát USA.
The group cited incidents such as racial slurs against black students at the University of Missouri and the death of Tory Sanders, 28, a black man from Tennessee.	Mezi incidenty, které organizace citovala, byly rasově motivované nadávky směřované vůči studentům černé pleti na University of Missouri a smrt Toryho Sanderse, muže černé pleti z Tennessee.
Sanders died under questionable circumstances earlier this year after he ran out of gas while traveling through the state, and was taken into custody by Missouri police without being accused of a crime.	Sanders zemřel za sporných okolností na začátku letošního roku poté,co mu při cestování napříč státem došel benzín a policie jej uvrhla do vazby bez obvinění ze spáchání zločinu.
The advisory also points to a recent report by the Missouri Attorney General's Office showing that black drivers in the state were 75 percent more likely to be pulled over than whites.	Cestovní doporučení rovněž upozorňuje na nedávné prohlášení nejvyššího státního zastupitelství státu Missouri, které uvádí, že řidiči černé pleti mají o 75 % vyšší šanci, že je zastaví policie.
"The advisory is for people to be aware, and warn their families and friends and co-workers of what could happen in Missouri," Chapel said.	„Účelem cestovního doporučení je upozorňovat lidi a varovat jejich rodiny, přátele a spolupracovníky před tím, co by se mohlo přihodit v Missouri,“ řekl Chapel.
"People need to be ready, whether it's bringing bail money with them, or letting relatives know they are traveling through the state."	„Lidé musejí být připraveni - měli by s sebou vozit peníze na případnou úhradu kauce nebo upozornit své příbuzné, že se chystají cestovat státem.“
Missouri recorded 100 hate crimes in 2015, according to the latest figures from the FBI's hate crime reporting program, ranking the state at 16th in the country in terms of the number of such violations.	Podle aktuálních čísel programu FBI k hlášení nenávistných činů došlo v roce 2015 v Missouri ke stovce případů nenávistného chování, což dosazuje stát na šestnácté místo mezi všemi státy.
The travel warning is also a response to a new Missouri law that would make it more difficult to sue a business for housing or employment discrimination.	Cestovní výstraha je zároveň odpovědí na nový zákon Missouri, který znesnadňuje zažalování společnosti za diskriminaci při poskytování ubytování nebo zaměstnávání.
Previously, the American Civil Liberties Union (ACLU) had issued travel advisories for Texas and Arizona after the states passed immigration enforcement laws requiring local law enforcement to detain people on immigration violations which the ACLU said would increase racial profiling.	Americký svaz pro občanské svobody (ACLU) vydal cestovní doporučení pro Texas a Arizonu poté, co státy schválily imigrační zákon, jež umožňuje státním činitelům zadržet lidi na základě porušení tohoto zákona, který má podle ACLU zlepšit rasovou profilaci.
Travel warnings are usually issued by the State Department for other countries, but lately, advocacy groups have resorted to the measure in response to certain laws and trends inside the US.	Cestovní doporučení obvykle vydává ministerstvo zahraničí pro zahraniční země, ale v poslední době se advokační skupiny uchýlily k těmto opatřením v odpovědi na konkrétní zákony a trendy v rámci USA.
Model killed by a chef.	Modelka byla zabita šéfkuchařem.
Twelve years later, her family still has no peace!	Její rodina ani po 12 letech nemá klid!
The victim is model Sally Anne Bowman.	Zavražděnou je modelka Sally Anne Bowman.
The Croydon-born girl was murdered in 2005 in the restaurant where she worked by chef Mark Dixie, who stabbed her.	Dívka původem z Croydonu byla v roce 2005 zavražděna šéfkuchařem Markem Dixiem přímo v restauraci, ve které pracovala, ten jí zasadil bodné rány.
Both the victim and the killer had sex and smoked marijuana, then he killed her.	Oběť i vrah spolu měli mít sex a kouřit marihuanu, posléze ji zabil.
The killer then sat in a nearby café and watched the painstaking investigation of the crime scene.	Vrah pak seděl v nedaleké kavárně a sledoval pečlivou kriminalistickou práci ohledávání místa činu.
Dixie, a former chef, was sentenced to a 34-year prison term in 2008 for the rape and murder of the model Sally.	Dixie, bývalý šéfkuchař, byl odsouzen v roce 2008 k odnětí svobody ve výši 34 let za vraždu a znásilnění modelky Sally.
He only confessed to assaulting the young woman to the court, and his lawyer claimed that his client had found the dead girl lying on the street already dead.	Ten u soudu přiznal pouze napadení mladistvé a právník tvrdil, že jeho klient našel už dívku mrtvou ležet na ulici.
The police convicted him three years later.	Po třech letech ho policie usvědčila.
Dixie claimed that Sally and her ex-boyfriend Lewis Sprotson were fighting on the fateful night.	Dixie tvrdil, že Sally a její ex přítel Lewis Sprotson se osudné noci hádali.
The murderer said, "He was really upset, and after he attacked her the girl started screaming."	Vrah řekl: "On byl vážně naštvaný a po jeho útoku začala dívka křičet."
"She even caught the attention of the taxi driver," he falsely stated.	"Dokonce přilákala pozornost i taxikáře," tvrdil lživě.
According to his testimony, the girl defended herself as best she could, but it was in vain.	Dívka se dle jeho výpovědi měla bránit, seč mohla, ovšem marně.
Lewis supposedly stabbed her on the street.	Lewis jí měl ubodat na ulici.
Dixie's version was been proven to be a lie and inculpated him.	Dixieho verze byla prokázaná jako lež a obvinila ho.
After he confessed, Dixie spoke of his desire and lust for the girl.	Po přiznání Dixie mluvil o své nadrženosti a chuti po dívce.
When he dressed her after sex, he felt happy and had to smoke marijuana.	Když ji po sexu oblékal, cítil se spokojeně a musel si zapálit marihuanu.
Before the incident with Sally, he had been with his former girlfriend, drinking alcohol and taking cocaine, as Dexie himself revealed to the police.	Před incidentem se Sally byl u své bývalé přítelkyně, pili alkohol a vzali si kokain, to řekl na policii sám Dexie.
He said that he felt adrenalin.	Řekl, že cítil adrenalin.
Sally started screaming for help, so he attacked her from behind and put his hand over her mouth," Linda added the Mirror.	Sally začala křičet o pomoc, proto jí napadl zezadu a přiložil jí ruku přes ústa," dodala the Mirror Linda.
Twelve years later, the family faced further acts of aggression, with vandals destroying her grave.	A po dvanácti letech rodina čelí dalším útokům ze strany vandalů ničící její hrob.
It has been damaged four times in the last half year.	Za poslední půl rok ho poškodili čtyřikrát.
There are cruel people going around who dig up these graves.	Na svobodě jsou tak krutí lidé, kteří tyto hroby vykopávají.
"So our daughter is not there anymore," Linda, the mother of the late girl, told The Mirror, describing the disappearance of the urn and ashes.	"Takže naše dcera už tam není," prozradila the Mirror matka zesnulé dívky Linda informaci o zmizení urny s popelem.
Linda waited for the vandals, but they always attacked when she left the cemetery.	Linda na útočníky čekala, ale museli vždy zaútočit tehdy, kdy odešla ze hřbitova.
Designer vibrators cost tens of thousands of crowns.	Designové vibrátory stojí i desítky tisíc.
"Czechs are neither prudish nor conservative," says Martin Ráž, who runs the Intimity boutique in Prague.	"Češi nejsou pruderní ani konzervativní," říká Martin Ráž, který provozuje pražský butik Intimity.
In it, you will find designer and luxury erotic aids,	V něm najdete designové a luxusní erotické pomůcky.
including those by Czech designer Anna Marešová.	Včetně těch od české designérky Anny Marešové.
It began inconspicuously about 12 years ago.	Začalo to nenápadně, zhruba před dvanácti lety.
Martin Ráž and his friends went on a bike tour in Moravia.	Martin Ráž si s přáteli vyrazil na cyklovýlet po Moravě.
However, one of them did not just bring a bicycle, but also a box full of unusual looking vibrators.	Jeden z nich si nepřivezl pouze kolo, ale také krabici plnou nevšedně vyhlížejících vibrátorů.
"There were various kinds of moles and dolphins, and everything was green and yellow, and everything was totally different," he told me during lunch.	"Různých krtečků a delfínků a všechno to bylo zelené a žluté a prostě úplně jiné," vypráví mi nad obědem.
His friend had decided to work as a partner to Fun Factory, the German manufacturer of designer sex toys, which attracted Martin, who offered to help with marketing.	Jeho kamarád se ještě s jedním společníkem rozhodl spolupracovat s německým výrobcem designových erotických pomůcek Fun Factory, což Martina zaujalo, a tak se nabídl, že vypomůže s marketingem.
When his associate left to take up another position, he replaced him.	Když společník odešel, aby se mohl věnovat jiné profesi, nahradil ho.
Today he runs the Intimity boutique in Prague's Benediktská ulice, where he sells sex toys in the way luxury handbags or shoes are often presented.	Dnes provozuje v pražské Benediktské ulici butik Intimity, kde prodává erotické pomůcky způsobem, jakým jsou obyčejně nabízeny luxusní kabelky nebo boty.
And why not?	A proč by ne?
They are also designer items.	Jedná se také o designové předměty.
One second, are you asking yourselves, “is this what you talk about over lunch?”	Moment, moment, o tomhle se bavíte u oběda, říkáte si?
Come on, don’t be such puritans!	Ale no tak, nebuďte takoví puritáni!
It was the Fun Factory store in Berlin, which was designed by renowned designer Karim Rashid, that served as the inspiration for the Intimity boutique.	Právě berlínský obchod Fun Factory, který navrhoval uznávaný designér Karim Rashid, posloužil pro butik Intimity jako inspirace.
It opened in 2010 and was based on a completely different concept of the erotic store to what everyone is used to here.	Otevřeli ho v roce 2010 a byl to úplně jiný koncept erotického obchodu, než na jaký jsou tady všichni zvyklí.
There are no hidden displays, and everything is done in a beautiful, decent way, with the products exhibited like in a perfume store.	Žádné zakryté výlohy, vše udělané v krásném, decentním stylu, výrobky vystavené spíš jako v parfumerii.
Martin and his business partner Zdeněk Šebelka began to think about how to get hold of a shop in Prague, where it should be and what it should be called.	Martin se svým obchodním partnerem Zdeňkem Šebelkou začal uvažovat, jak pojmout pražský obchod, kde by měl být a jak by se měl jmenovat.
Both of them liked the name Intimity.	Jméno Intimity se zalíbilo oběma.
"It's related to intimacy, and I would say it is gentle," he said.	"S intimitou to ostatně souvisí a je to i, dá se říct, něžné," říká.
The next step was to purchase the internet domains and look for a suitable space that would work in parallel with the various visualisations of the interior.	Následovala koupě internetové domény a hledání vhodného prostoru, jež šlo paralelně s různými vizualizacemi interiéru.
In the end, the variation that won saw the shop displayed as a garden of delights and a bedroom, dominated by beds.	Nakonec zvítězila varianta, která rozložila obchod do zahrady rozkoše a ložnice, jíž vévodí postel.
Dagmar Štěpánová from the FormaFatal studio made it for us.	Připravila nám ji Dagmar Štěpánová ze studia FormaFatal.
We found the space in 2013.	Prostor jsme našli roku 2013.
